#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Justin Bieber @UCIwFjwMjI0y7PDBVEO9-bkQ,69.7M,-,Canada,,20.9M
2,Super Simple Songs - Kids Songs @UCLsooMJoIpl_7ux2jvdPB-Q,37.3M,-,Canada,Travel,11.2M
3,The Weeknd @UC0WP5P-ufpRfjbNrmOWwLBQ,28.7M,0.2%,Canada,,8.6M
4,WatchMojo.com @UCaWd5_7JhbQBe4dknZhsHJg,24.7M,-,Canada,,7.4M
5,Linus Tech Tips @UCXuqSBlHAE6Xw-yeJA0Tunw,14.9M,0.4%,Canada,,4.5M
6,AzzyLand @UCzeB_0FNcPIyUSjL_TL5lEw,13.4M,-,Canada,,4M
7,Typical Gamer @UC2wKfjlioOCLP4xQMOWNcgg,13M,-,Canada,,3.9M
8,Hacksmith Industries @UCjgpFI5dU-D1-kh9H1muoxQ,13M,-,Canada,,3.9M
9,MrSuicideSheep @UC5nc_ZtjKW1htCVZVRxlQAQ,12.8M,-,Canada,,3.8M
10,HZHtube Kids Fun @UCAgx4HcQIYn9lM0rhtIuH9w,12.1M,-,Canada,,3.6M
11,"Baby Big Mouth Kids - Sing, Dance, Explore @UCWr4vlkj5xXQ4bSXNeTT2AA",10.5M,-,Canada,Music Travel,3.2M
12,SAS-ASMR @UCp4LfMtDfoa29kTlLnqQ5Mg,9.4M,-,Canada,,2.8M
13,WatchMojo Español @UClgevvAYKcfuthTWppKT0IQ,8M,-,Canada,,2.4M
14,MostAmazingTop10 @UCBINYCmwE29fBXCpUI8DgTA,7.7M,-,Canada,,2.3M
15,Simply Nailogical @UCGCVyTWogzQ4D170BLy2Arw,7.5M,-,Canada,,2.3M
16,Domics @UCn1XB-jvmd9fXMzhiA6IR0w,7.4M,0.6%,Canada,,2.2M
17,Gloom @UC6IijBsVf2PlWo_uq6P9wQw,7.4M,-,Canada,,2.2M
18,MadFit @UCpQ34afVgk8cRQBjSJ1xuJQ,7.2M,-,Canada,,2.2M
19,Shroud @UCoz3Kpu5lv-ALhR4h9bDvcw,6.8M,0.1%,Canada,Video Gaming,2M
20,Chris Ramsay @UCrPUg54jUy1T_wII9jgdRbg,6.7M,-,Canada,,2M
21,Pokimane @UChXKjLEzAB1K7EZQey7Fm1Q,6.7M,-,Canada,,2M
22,Nick Eh 30 @UCt9nYeSz90lnOnaVFjxFJzw,6.6M,0.5%,Canada,,2M
23,Ayo & Teo @UCB_Mdi3acqKLRR8zKFkqKoA,6.4M,-,Canada,,1.9M
24,CelineDion @UC_yGU4qz9zAjEWLQxCg9NZQ,6.3M,-,Canada,,1.9M
25,Kallmekris @UCiciOsypkXcqSFqSPd-NRVA,6.2M,3.6%,Canada,,1.9M
26,Matthew Santoro @UCXhSCMRRPyxSoyLSPFxK7VA,6.2M,0.2%,Canada,,1.9M
27,funnyplox @UCVUdHi-tdW5AKdzMiTPG97Q,6.2M,-,Canada,Pets,1.8M
28,Jester @UCKIL4dMp2qbWElEEZHK-aug,6.1M,-,Canada,,1.8M
29,Chills @UCN64HIrZNqFQYZ2BuyY-4zg,6.1M,-,Canada,Celebrity,1.8M
30,Rehaan Records @UCm9SZAl03Rev9sFwloCdz1g,6M,1.1%,Canada,,1.8M
31,GamerGirl @UCije75lmV_7fVP7m4dJ7ZoQ,6M,0.2%,Canada,,1.8M
32,Peter McKinnon @UC3DkFux8Iv-aYnTRWzwaiBA,5.8M,0.2%,Canada,Photography Food and Drink,1.7M
33,GunVsGun @UCFFUY0PCOH3CieBjbZd5suw,5.7M,0.1%,Canada,,1.7M
34,Bajan Canadian @UCuj1Ms9_LCsQPSJ4p8nvOVA,5.7M,-,Canada,,1.7M
35,BENOFTHEWEEK @UC_UnVDztkvE1hw064XFTNSQ,5.7M,-,Canada,,1.7M
36,JustDustin @UCau_n8AK1uk3Ys5bEnRAoqg,5.5M,0.4%,Canada,,1.6M
37,ElectroBOOM @UCJ0-OtVpF0wOKEqT2Z1HEtA,5.2M,1.1%,Canada,,1.6M
38,ExplodingTNT @UC2nZMhZ2qG5-xpqb440WLYg,5.1M,0.4%,Canada,,1.5M
39,Furious Pete @UCspJ-h5Mw9_zeEhJDzMpkkA,5.1M,-,Canada,,1.5M
40,JoBlo Movie Clips @UC6LDwTYRfjQwkakw5R95OyA,5M,-,Canada,,1.5M
41,MDMotivator @UCV60-YzrBdQBKHxvgeu9sIw,4.8M,-,Canada,,1.4M
42,Jeremy Ethier @UCERm5yFZ1SptUEU4wZ2vJvw,4.7M,-,Canada,,1.4M
43,MsMojo @UC3rLoj87ctEHCcS7BuvIzkQ,4.7M,-,Canada,,1.4M
44,ENGLISH with James · engVid @UCwA7Aepp7nRUJNa8roQ-6Bw,4.6M,-,Canada,,1.4M
45,NileRed @UCFhXFikryT4aFcLkLw2LBLA,4.6M,7.6%,Canada,,1.4M
46,AntsCanada @UCONd1SNf3_QqjzjCVsURNuA,4.5M,0.3%,Canada,,1.4M
47,Super Simple ABCs @UCp5Nhw2YMCMUemXC1oWTkkA,4.5M,0.1%,Canada,,1.3M
48,MY BOLLYWOOD BODY @UCU3juAek2IQClkV7eUw-a2w,4.4M,-,Canada,,1.3M
